DDF_ID,Originator Source,ft12m,ft11m,ft10m,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
957,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,9.1,13.2,16.9,20.5,26.6,33.3,36.4,41,43.9,47.7,51.3,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
958,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,9.1,13.2,16.9,20.5,26.6,33.3,36.4,41,43.9,47.7,51.3,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
959,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,1.9,14.8,19.4,25.3,32.4,41.0,49.6,56.3,63.9,67.2,71.3,72.7,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
960,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.0,7.8,11.9,16.1,19.8,25.7,31.6,34.4,39.9,43.2,47.7,52.6,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9
961,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
962,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.2,7.5,11.1,15,18.1,23.5,29.5,31.9,36.8,40.9,45.1,48.3,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7
963,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,7.6,11.8,16.1,19.9,25.4,31.4,34.2,39,41.8,45.7,50.4,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
964,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
965,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.0,7.8,11.9,16.1,19.8,25.7,31.6,34.4,39.9,43.2,47.7,52.6,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9
966,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
