ddf_id,comment,depth_m12_0,depth_m11_0,depth_m10_0,depth_m9_0,depth_m8_0,depth_m7_0,depth_m6_0,depth_m5_0,depth_m4_0,depth_m3_0,depth_m2_0,depth_m1_5,depth_m1_0,depth_m0_5,depth_0_0,depth_0_5,depth_1_0,depth_1_5,depth_2_0,depth_3_0,depth_4_0,depth_5_0,depth_6_0,depth_7_0,depth_8_0,depth_9_0,depth_10_0,depth_11_0,depth_12_0,depth_13_0,depth_14_0,depth_15_0,depth_16_0,depth_17_0,depth_18_0,depth_19_0,depth_20_0,depth_21_0,depth_22_0,depth_23_0,depth_24_0
587,Correct source curve,1,7.0,8.0,8.0,8.0,8.0,9.0,23.0,68.0,100.0,100.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
587,Incorrect Hazus curve,,,,,,,,,65.0,100.0,100.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
588,Correct source curve,,,,,,,,,0.0,0.0,1.0,,22.0,,53.0,,93.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
588,Incorrect Hazus curve,,,,,,,,,0.0,0.0,0.0,,20.0,,50.0,,90.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
589,Correct source curve,,,,,,,,,1.0,7.0,11.0,,48.0,,78.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
589,Incorrect Hazus curve,,,,,,,,,0.0,5.0,8.0,,45.0,,75.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
590,Correct source curve,,,,,0.0,0.0,1.0,7.0,8.0,17.0,53.0,,93.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
590,Incorrect Hazus curve,,,,,,,,,5.0,14.0,50.0,,90.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
591,Correct source curve,,,,,1.0,7.0,8.0,8.0,11.0,43.0,78.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
591,Incorrect Hazus curve,,,,,,,,,8.0,40.0,75.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
592,Source curve,,,,,,,,,,,0.0,,0.0,,12.0,,25.0,,50.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
592,Correct Hazus curve,,,,,,,,,0.0,0.0,0.0,,0.0,,12.0,,25.0,,50.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
593,Source curve,,,,,,,,,,,2.0,,10.0,,35.0,,75.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
593,Correct Hazus curve,,,,,,,,,0.0,0.0,2.0,,10.0,,35.0,,75.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
594,Source curve,,,,,,,,,,,2.0,,30.0,,75.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
594,Correct Hazus curve,,,,,,,,,0.0,0.0,2.0,,30.0,,75.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
595,Source curve,,,,,,,,,,,15.0,,75.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
595,Correct Hazus curve,,,,,,,,,0.0,0.0,15.0,,75.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
596,Source curve,,,,,,,,,,,13.8,,19.4,,25.5,,32.0,,38.7,45.5,52.2,58.6,64.5,69.8,74.2,77.7,80.1,81.1,81.1,81.1,81.1,81.1,81.1,,,,,,,,
596,Correct Hazus curve,,,,,,,,,0.0,0.0,14.0,,19.0,,26.0,,32.0,,39.0,46.0,52.0,59.0,65.0,70.0,74.0,78.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
597,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,0.0,,0.4,,8.7,,22.3,,29.5,34.1,39.2,43.3,48.2,51.1,54.3,57.3,59.0,61.0,62.7,64.4,66.1,67.5,68.7,,,,,,,,
598,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,0.0,,0.5,,11.3,,29.0,,38.4,44.4,50.9,56.3,62.7,66.4,70.6,74.5,76.7,79.3,81.5,83.7,85.9,87.8,89.3,,,,,,,,
599,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,1.5,2.4,3.0,,3.9,,13.9,,31.6,,41.8,48.4,55.5,61.4,68.3,72.4,76.9,81.2,83.6,86.5,88.8,91.3,93.6,95.7,97.4,,,,,,,,
600,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,5.0,8.0,10.0,,12.0,,20.0,,37.7,,49.9,57.7,66.2,73.2,81.5,86.3,91.8,96.9,99.7,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
601,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,0.0,,0.3,,6.5,,16.7,,22.1,25.6,29.4,32.5,36.2,38.3,40.7,43.0,44.3,45.8,47.0,48.3,49.6,50.6,51.5,,,,,,,,
602,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,0.0,,0.4,,8.5,,21.8,,28.9,33.5,38.4,42.5,47.3,50.1,53.2,56.2,57.8,59.8,61.4,63.1,64.7,66.2,67.3,,,,,,,,
