DDF_ID,Originator Source,ft12m,ft11m,ft10m,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1103,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.95,21.9,31.25,40.6,43.75,46.9,54.7,63.4,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1104,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32.95,65.9,70.1,74.3,79.8,85.3,96.3,97.2,99.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1105,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,100,100.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1106,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9,7.8,27.150000000000002,46.5,57.65,68.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1107,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,8.5,17,30.5,44,87.7,90.6,96.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1108,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,9.5,19,35.25,51.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1109,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21.85,43.7,46.2,48.7,55.55,62.4,77.2,82.9,94.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1110,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.65,1.3,5.3,15.6,63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1111,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8,3.6,22.150000000000002,40.7,52.150000000000006,63.6,92.6,94.4,98.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1112,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7,1.4,20.2,39,46.95,54.9,73.7,80.1,93.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1113,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,25.0,50,60.6,71.2,92.4,93.5,95.8,96.9,99.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1114,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.85,15.7,42.25,68.8,76.75,84.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1115,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,34.05,68.1,72.6,77.1,86.1,89.6,96.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1116,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49.55,99.1,99.15,99.2,99.25,99.3,99.7,99.8,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1117,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.85,9.7,16.75,23.8,32.4,41,63.6,72,90.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1118,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.25,20.5,25.0,29.5,39.65,49.8,74.6,78.6,87.2,91.9,96.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1119,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15,0.3,46.6,92.9,92.9,92.9,92.9,92.9,92.9,92.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
